ID,v,h
307,206,79.4372,6714.151106
308,206,58.7618,7123.9715
309,206,68.5127,7544.539879
310,206,87.621,7236.130728
311,206,120.95,8991.900042
312,206,175.5477,7398.661811
313,206,112.2403,7587.110282
314,206,114.3838,6469.33239
315,206,82.127,7921.540207
316,206,87.6098,6772.47531
317,206,112.7646,8053.469417
318,206,93.3803,8316.469293
319,206,116.0488,8312.882572
320,206,135.0577,6457.198452
321,206,80.7921,6923.646796
322,206,72.8554,9051.83984
323,206,91.1736,9766.341452
324,206,85.3495,8229.88487
325,206,106.8954,6752.294305
326,206,92.4908,6361.04524
327,206,128.0831,7404.90821
328,206,242.6523,7945.216958
329,206,206.9104,10710.20115
330,206,173.3759,10312.35783
331,206,215.3874,10037.69092
332,206,173.422,11412.89012
333,206,82.8057,10932.20988
334,206,84.4295,9205.462963
335,206,126.4069,9788.444371
336,206,118.9008,13862.23985
337,206,81.0751,12004.13723
338,206,59.4197,9386.837489
339,206,154.4182,15282.5921
340,206,103.9952,9380.158483
341,206,134.2398,7591.333857
342,206,165.8286,8750.944788
343,206,153.6385,6793.341659
344,206,192.4458,5903.80456
345,206,95.4922,6191.8259
346,206,101.8817,6932.998627
347,206,97.7788,6208.850773
348,206,96.0483,6638.083701
349,206,96.6092,7591.50359
350,206,135.0327,7012.428276
351,206,134.4646,6757.446798
352,206,127.1975,5802.558141
353,206,130.7123,18929.74698
354,206,114.2945,8430.245481
355,206,137.0212,13392.06248
356,206,128.6687,9180.318689
357,206,96.9118,11334.08462
358,206,138.7133,25080.09916
359,206,156.5216,20588.40471
360,206,175.5922,21238.69032
361,206,109.2545,21454.13832
362,206,148.6657,21392.23367
363,206,112.9626,18775.89435
364,206,152.3143,15701.81946
365,206,158.8647,18164.64424
366,206,184.8186,18513.47908
367,206,168.2824,19664.24442
368,206,120.9698,19553.93017
369,206,148.7353,25627.00877
370,206,84.6424,22933.1301
371,206,92.2885,23086.0772
372,206,119.5157,23993.28345
373,206,61.95,11514.49089
374,206,37.779,10545.93954
375,206,52.1954,10220.75417
376,206,86.0212,10106.86677
377,206,25.7725,9166.075851
378,206,23.961,9266.33262
379,206,24.6715,8786.284912
380,206,22.3799,8438.619878
381,206,18.7615,7084.005298
382,206,31.3928,6905.817761
383,206,29.9563,7301.429002
384,206,29.7848,9649.154028
385,206,29.6649,9243.769386
386,206,24.2546,8698.926026
